text,themes
"Вітаю! Підскажіть,будь ласка сайти,де можно купувати б/у меблі,або просто віддають?",['general']
"В Германии нет поликлиник, разве только Ärztehaus но это просто врачи в одном здании открывают себе праксисы. 
Смотрите в гугле Offene Sprechstunde HNO Stuttgart. Так же, можете подойти в ближайший праксис без термина, иногда бывает кто-то не прийдет и освобождается запись, но обычно так ждать надо долго или могут сказать что делать.",['general']
Ищу переводчика документов с немецкого на Украинский,['documents']
"Приветствую!
Ищем специалистов, готовых к релокации в Тузлу (Стамбул) на позицию:

☑️ Инженер по автоматике и электрике судовых энергетических установок (электромеханик) 

Требования:
Опыт работы электромехаником на судах любого типа. 

Основные обязанности/функционал:
1. Выполнение работ по автоматике и автоматизации судна
2. Выполнение работ по электромеханической части на судне
3. Чтение, понимание проектов по электрической части судовых механизмов и установок
4. Подключение и сопровождение подключения электрической части судовых механизмов и установок
5. Разработка проектов и схем подключения, изменения существующих проектов и схем систем автоматизации и автоматики
6. Определение неисправности, диагностика узлов автоматики и электрических потребителей, устранение при возможности
7. Умение пользоваться программным обеспечением судовых установок с электронным управлением
8. Проведение инспекции судов на предмет работоспособности систем и соблюдения правил и норм эксплуатации электрической части судна
9. Составление заявок на СЗЧ согласно каталогов и интернет ресурсов, контроль выполнения, подбор аналогов
10. Стремление к развитию и модернизации судов по судовым электрическим системам
11. Взаимодействие с проектными организациями
12. Ведение отчётности о проделанных работах согласно норм классификационных сообществ


💁🏻‍♀️ Работа в судоремонтном заводе Тузла (Стамбул)
💵  ЗП: обсудим на интервью
💬 Знание языков – русский и английский
📱 Для быстрой связи: 
ТГ @IK_FPD
WhatsApp +44 7473692964

❗️Пожалуйста, присылайте ваши CV
кандидатов без резюме не рассматриваем❗️","['work', 'adaptation', 'finances']"
"Автобусні квитки до 🇩🇪 Німеччини
🇵🇱 Польщі, 🇮🇹 Італії, 🇪🇸 Іспанії та інших країн ЄС!
🚌 Регулярні рейси автобусами для міжнародних сполучень
✅ Зручне та безкоштовне бронювання місця
✅ Понад 10 тисяч унікальних напрямків руху
✅ Зручний час виїзду та прибуття.
📲 Контактний номер вашого персонального менеджера:
 +380733000200
👌🏼 Зручно, швидко та надійно!
#contra_bus - обери свій маршрут",['general']
Спасибо за инф,['general']
"У нас это в другой земле. И это частный праксис. Но такая практика есть повсеместно. Можно термин до посинения искать, а оказывается можно попасть и без направления в открытые часы приема",['general']
У нас-это где? Это поликлиника или частный кабинет?,['general']
"У нас к Лору можно попасть без записи. Узнайте у себя. Кроме этого, у многих врачей есть открытые часы, когда они принимают без направления",['general']
"💄✨ **Beauty NRW – твой главный бьюти-чат в регионе!** ✨💅

Ищешь крутые бьюти-услуги? Или хочешь найти клиентов, работу или сотрудников? Тогда тебе к нам! 🚀

💜 Более 5000 участников из земли NRW уже с нами!

🔍 Ищи мастеров и бронируй услуги!
💼 Находи работу или размещай вакансии!
📢 Продвигай свои услуги и расширяй клиентскую базу!

✅**И не пропусти — сейчас действует много скидок и выгодных предложений!**

Присоединяйся к нашему дружному beauty-сообществу прямо сейчас! 🥰👇

💬 Вступай в чат: [https://t.me/BeautyNRW](https://t.me/BeautyNRW)

📩 Контакт для сотрудничества: @nrwbeauty2",['general']
