text,needs
"[🌒](https://t.me/iGroupHelp) **НОЧНОЙ РЕЖИМ ОТКЛЮЧЁН**

✅ С этого момента снова можно отправлять текстовые сообщения в группу.",[]
"🚀 **Шукаємо Personal Assistant у Лісабоні!** 🌍  

Ми – українська performance marketing компанія, що працює у сфері арбітражу трафіку. Якщо ти організований(-а), відповідальний(-а) та хочеш працювати в динамічному середовищі, то ця можливість саме для тебе!  

📌 **Деталі вакансії тут:**  
https://leadsdoit.peopleforce.io/careers/v/112458-personal-assistant?source_id=4620

Якщо виникли запитання – **пиши в особисті ****@izadorozhnaya****. **
Чекаємо саме на тебе! 😊",[]
"Орендується кімната з балконом у Кашкайші, починаючи з квітня. Тільки для дівчат. 550€",['no_housing']
"**РАСПРОДАЖА 50% СКИДКА!**

**Группы** **стабильно приносящие по 800€ месяц🤑 **— Рай для инвесторов

Половину групп уже раскупили за 2 дня , успей купить пока еще не разобрали!

👇👇👇
https://t.me/+R2v8FUA-TUM2MWYy
https://t.me/+R2v8FUA-TUM2MWYy",[]
"Орендується кімната з балконом у Кашкайші, починаючи з квітня. Тільки для дівчат.",['no_housing']
"Якщо ви офіційно працюєте, роботодавець оформить вас у місцевій страховій компанії. Якщо ні — потрібно самостійно зареєструватися у страховій касі ÖGK.",[]
Як отримати медичну страховку в Австрії?,[]
"Продаю шорти для футболу також для бігу Адідас я вже виріс з них розмір S
Ціна: 6€
Можу привезти по всьому Лісабону і можу привезти в Кашкаїш та в Сінтру",[]
"Добрий день, орендується кімната з балконом у Кашкайші, починаючи з квітня. Тільки для дівчат",['no_housing']
"**3 группы в Telegram могут приносить доход, сравнимый со сдачей двухкомнатной квартиры в Киеве.**

При правильном подходе Telegram-группы могут стать стабильным источником дохода. Это **готовый бизнес** с простой и понятной моделью.

Если вы ищете **выгодный способ вложить деньги** и получать стабильную прибыль, **Telegram-группы – лучшее решение**. Вложенные средства окупаются за 3–12 месяцев, в то время как квартира — от 6 лет.

📌 **Продажа групп**
💰 **Цены от 3 000 € за одну**

📋 **Список доступных групп:**
https://t.me/+K3iTSZvF8Jk0YWMy
https://t.me/Ukrainians_Europe/27

⚠ **Во избежание мошенничества сделка проходит через гаранта. **Как? Смотреть тут👇
https://t.me/tumobog_bir/7095
**Оплату гаранта берем на себя.**

‼ **Важно:**
Не пишите боту, если **не выбрали** группу, которую хотите купить. **Обращайтесь только при полной готовности к покупке.**

🎁 **Специальное предложение:**
Если в течении 3 дней вы написали и мы **заключим сделку на 2 группы**, **третью вы получаете абсолютно бесплатно!**

**При готовности купить пишите**
👉[**@ManagerCommercialBot**](https://t.me/ManagerCommercialBot?start=hello)**👈**",['no_housing']
"Всім привіт! Мене звати Гліб, мені 15 я шукаю підробіток. Я можу прибирати вдома, готувати прості страви, вигулювати собак, сходити за продуктами,    можу дивитися за дітьми. Я можу у середу після 17:00 та у п'ятницю після 17:00, а також на вихідних працюю по всьому Лісабону. Дякую за увагу!",['job_search']
А як швидко можна отримати тимчасовий захист?,[]
"Потрібен дозвіл на проживання або тимчасовий захист. Якщо маєш тимчасовий захист, отримаєш NIF (податковий номер) і NISS (номер соцстраху).",['no_housing']
Які документи потрібні для офіційного працевлаштування в Португалії?,"['document_issues', 'job_search']"
"Продаю скейт в отличном состоянии. Катался на нем всего месяц. Покупал за 100 евро, продаю за 70. Возможна доставка по всему Лиссабону, Кашкайшу и Синтре",[]
