message,cluster
https://www.instagram.com/germany_flowers_shop?igsh=MWtwbmtpY3FrZWh5Mg==,4
Я а Берлине недавно делала. Людей очень мало. Живой очередью можно без проблем. Наличные не принимают. Только украинская карта для гривни и в евро для евро.,2
"Доброе утро. Подскажите, если ехать дп документ в Берлин для оформление загарана, нужно записываться онлайн или в порядке живой очереди? И как с оплатой, только наличкой или примают немецкую карту? Спасибо",3
"Здравствуйте. Люди, подскажите, пожалуйста контакты юриста по трудовым отношениям в Берлине и вообще в Германии. Благодарю каждого за ранее.",3
"Смотрите, посольство только одно и оно в Берлине. В других городах Германии, в т.ч. и в Мюнхене это консульство",1
"Может быть всё-таки Консульства?
Мюнхен: **gc_dem@mfa.gov.ua**
Берлин: **consul_de@mfa.gov.ua**",0
"Здравствуйте. Если известно кому-то, подскажите, пожалуйста, электронный адрес посольства Украины в Мюнхене или в Берлине?",3
В берлине полно русскоговорящих врачей,2
"Сдаётся комната в доме с участком земли и терассой в Bernau bei Berlin 449 евро kalt, всего 20 минут до центра Берлина, новая кухня и стиральная машинка.",2
"Выдали ребенку в школе проездной билет земля NRW. Подскажите, пожалуйста, сможем ли мы по нему поехать бесплатно на электричке в Кёльн или в Берлин за украинским паспортом? Или бесплатно можно ездить только в автобусах по своей земле?",3
"В трир едьте или Берлин, там читал что принимают",2
"✅ **УКРАЇНСЬКА ДІАСПОРА У НІМЕЧЧИНІ** 🇺🇦🇩🇪

🔹 **Усе необхідне для комфортного життя в Німеччині!**

🔗 [**Долучайтеся до нашої групи!**](https://t.me/deutschland_diaspora)

**У нас ви знайдете:**
📝 Професійну юридичну підтримку з питань імміграції, ВНЖ, бізнесу та самозайнятості.
🔍 Вакансії для спеціалістів усіх рівнів.
🧑‍⚕️ Контакти медичних фахівців і ветеринарів, які розуміють вашу мову.
🚘 Корисні поради для автомобілістів із авто на українських номерах.
✉️ Надійні варіанти грошових переказів.
📚 Рекомендації та матеріали для вивчення німецької мови.

✅ **Робота та навчання в Німеччині | Важливі новини**

❗️ **Дізнавайтеся першими про новини, можливості роботи, навчання та корисні поради для життя в Німеччині!**",4
"Добрый день. Кто-нибудь знает, есть ли в ещё Берлине магазины с вещами по низким ценам или склады с бесплатными вещами?",2
"10 000 украинцев заграницей объединились в бьюти чате. 

Вы можете :
🔹найти мастера
🔹найти клиентов
🔹разместить вакансии
🔹делиться полезной информацией

Добавляйтесь 🙌🏻
https://t.me/beauty_masters_from_ua


Также, есть бьюти чат Германии https://t.me/germany_masters_from_ua",4
"Не самый лучший вариант. Лагерь в Берлине очень переполнен и там все долго делается. Лучше едьте в другой принимающий беженцев лагерь. Например, в г.Бохум, это земля Северный Рейн Вестфалия. В лагере соцработники вас сориентируют и помогут быстрее и правильнее оформить документы. Но в Бохуме это первичный лагерь, вас потом направят в следующий, который ещё принимает беженцев. Затем возможно в соцжилье. Но вам нужна прописка для подачи в миграционку на параграф. Когда будете в лагере спросите, как связаться с Каритасом, это Красный крест. Они вам помогут с размещением и лечением. Вам нужно оформить как можно быстрее страховку, вот просите Каритас об этом. Так как без страховки лечение в Германии очень дорогое.",1
