text,sentiment,score,date
"Вітаю! Підскажіть,будь ласка сайти,де можно купувати б/у меблі,або просто віддають?",1 star,0.6597473621368408,2025-04-05 11:08:38
"В Германии нет поликлиник, разве только Ärztehaus но это просто врачи в одном здании открывают себе праксисы. 
Смотрите в гугле Offene Sprechstunde HNO Stuttgart. Так же, можете подойти в ближайший праксис без термина, иногда бывает кто-то не прийдет и освобождается запись, но обычно так ждать надо долго или могут сказать что делать.",1 star,0.24580387771129608,2025-04-05 09:40:44
Ищу переводчика документов с немецкого на Украинский,5 stars,0.3090896010398865,2025-04-05 09:33:00
"Приветствую!
Ищем специалистов, готовых к релокации в Тузлу (Стамбул) на позицию:

☑️ Инженер по автоматике и электрике судовых энергетических установок (электромеханик) 

Требования:
Опыт работы электромехаником на судах любого типа. 

Основные обязанности/функционал:
1. Выполнение работ по автоматике и автоматизации судна
2. Выполнение работ по электромеханической части на судне
3. Чтение, понимание проектов по электрической части судовых механизмов и установок
4. Подключение и сопровождение подключения электрической части судовых механизмов и установок
5. Разработка проектов и схем подключения, изменения существующих проектов и схем систем автоматизации и автоматики
6. Определение неисправности, диагностика узлов автоматики и электрических потребителей, устранение при возможности
7. Умение пользоваться программным обеспечением судовых установок с электронным управлением
8. Проведение инспекции судов на предмет работоспособности систем и соблюдения правил и норм эксплуатации электрической части судна
9. Составление заявок на СЗЧ согласно каталогов и интернет ресурсов, контроль выполнения, подбор аналогов
10. Стремление к развитию и модернизации судов по судовым электрическим системам
11. Взаимодействие с проектными организациями
12. Ведение отчётности о проделанных работах согласно норм классификационных сообществ


💁🏻‍♀️ Работа в судоремонтном заводе Тузла (Стамбул)
💵  ЗП: обсудим на интервью
💬 Знание языков – русский и английский
📱 Для быстрой связи: 
ТГ @IK_FPD
WhatsApp +44 7473692964

❗️Пожалуйста, присылайте ваши CV
кандидатов без резюме не рассматриваем❗️",5 stars,0.5742788314819336,2025-04-05 09:02:36
"Автобусні квитки до 🇩🇪 Німеччини
🇵🇱 Польщі, 🇮🇹 Італії, 🇪🇸 Іспанії та інших країн ЄС!
🚌 Регулярні рейси автобусами для міжнародних сполучень
✅ Зручне та безкоштовне бронювання місця
✅ Понад 10 тисяч унікальних напрямків руху
✅ Зручний час виїзду та прибуття.
📲 Контактний номер вашого персонального менеджера:
 +380733000200
👌🏼 Зручно, швидко та надійно!
#contra_bus - обери свій маршрут",5 stars,0.7536764740943909,2025-04-05 08:52:41
Спасибо за инф,5 stars,0.38993003964424133,2025-04-05 08:20:16
"У нас это в другой земле. И это частный праксис. Но такая практика есть повсеместно. Можно термин до посинения искать, а оказывается можно попасть и без направления в открытые часы приема",2 stars,0.3110034465789795,2025-04-05 08:19:51
У нас-это где? Это поликлиника или частный кабинет?,1 star,0.37162116169929504,2025-04-05 08:17:33
"У нас к Лору можно попасть без записи. Узнайте у себя. Кроме этого, у многих врачей есть открытые часы, когда они принимают без направления",4 stars,0.2961798310279846,2025-04-05 08:15:19
"💄✨ **Beauty NRW – твой главный бьюти-чат в регионе!** ✨💅

Ищешь крутые бьюти-услуги? Или хочешь найти клиентов, работу или сотрудников? Тогда тебе к нам! 🚀

💜 Более 5000 участников из земли NRW уже с нами!

🔍 Ищи мастеров и бронируй услуги!
💼 Находи работу или размещай вакансии!
📢 Продвигай свои услуги и расширяй клиентскую базу!

✅**И не пропусти — сейчас действует много скидок и выгодных предложений!**

Присоединяйся к нашему дружному beauty-сообществу прямо сейчас! 🥰👇

💬 Вступай в чат: [https://t.me/BeautyNRW](https://t.me/BeautyNRW)

📩 Контакт для сотрудничества: @nrwbeauty2",5 stars,0.7842075228691101,2025-04-05 08:10:00
"Доброго дня,чи є такі,хто звертався до ЛОРа в Штуттгарті чи поруч з терміновим запитом,а не по запису через пару місяців? Буду рада отримати контакт лікаря. Можна в приватні. Бо ситуацію треба терміново вирішувати",1 star,0.2794768512248993,2025-04-05 08:01:26
"Всем привет. Подскажите кто знает перевозчика, нужно с Польши в Германию привезти посылку.",5 stars,0.547681450843811,2025-04-05 07:30:16
"Вітаю, шукаю візажиста та стиліста весільних зачісок не далеко від Дортмунда, дякую",2 stars,0.2883836328983307,2025-04-05 07:22:06
И за март и за апрель получили все.,5 stars,0.33425068855285645,2025-04-05 07:18:08
Да покажете электронный,5 stars,0.3061169683933258,2025-04-05 06:58:29
Доброго дня незламні. Підкажіть за березень була виплата? бо нам не нарахували ніфіга,1 star,0.39621105790138245,2025-04-05 06:56:48
Зачем? Пишите в группе,1 star,0.27334505319595337,2025-04-05 06:48:37
"‼️‼️‼️КРИТИЧНА ПЕТИЦІЯ‼️‼️‼️
      Строкатюк Володимир
                  «Агроном»
Прошу підписати петицію
« ПОСМЕРТНО» та поширити це
займе декілька хвилин, не 
будьте байдужі 🙏
🆘 Петиція повторна 🆘
Він за нас віддав найцінніше
 що мав - своє життя 😞💔
Вшануйте памʼять нашого героя 🙏
🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘

[https://petition.president.gov.ua/petition/240750](https://petition.president.gov.ua/petition/240750)",1 star,0.3320607841014862,2025-04-05 06:47:54
"Добрий вечір. 
Будь ласка, допоможіть 🙏🙏🙏


https://petition.president.gov.ua/petition/241442

Будь ласка, поширте петицію для мого 27-річного брата Богдана, який загинув на Авдіївському напрямку (н. п. Новокалинове Донецької області). 
Уродженець с. Дмитре Пустомитівського району Львівської області. 

Обмін - @Nataalia14 (Telegram)",5 stars,0.4398238956928253,2025-04-05 06:47:51
Зачем?,1 star,0.3632470965385437,2025-04-05 06:47:08
"Доброго ранку. Чи можна повернуть товар якщо чек відсутній, магазин не друкує, але на електронній він є",1 star,0.360633909702301,2025-04-05 06:45:08
В Ютуб есть пошагово видео,1 star,0.28413426876068115,2025-04-05 06:41:33
"Скачайте приложение,нажимайте на дойч тикет,вводите данные пройдите авторизацию и все",1 star,0.699885368347168,2025-04-05 06:36:31
Подскажите пожалуйста как через дб купить тикет,1 star,0.34020277857780457,2025-04-05 06:05:58
"Приветствую!
Ищем специалистов, готовых к релокации в Анталию на позицию:

☑️ lТ специалист/Help desk 
Требования:
Опыт работы не менее 1 года в аналогичной позиции


☑️ Казначей
Требования:
Опыт работы в аналогичной должности с международными банками не менее года 

☑️ Бухгалтер по расчету заработной платы
Требования:
Опыт от 1 года на позиции экономиста/бухгалтера


💼 Работа в офисе Антальи 
🕰 5/2 с 09:00-18:00
💰Оплата в долларах 

🙌Присылайте ваши резюме @osuhareva",5 stars,0.44537755846977234,2025-04-05 05:59:29
"Если вы живёте на квартире, то написать за 3 месяца письмо арендодателю, что разрываете договор аренды. Закрыть все договора, которые заключали: свет, интернет, мобильная связь и.т.д. Закрыть страховку, лично счёт в банке. За неделю выписаться из жилья. Предупредить заранее соцслужбы, чтобы не начисляли пособие. Если нужен документ о закрытии ВНЖ, обратиться в миграционку",1 star,0.8250006437301636,2025-04-05 05:56:07
